Jan,8232534
Feb,7478511
Mar,9591759.5
Apr,9753164
May,10168566.75
Jun,10499728.75
Jul,11189721.75
Aug,11444184.75
Sep,9536626.75
Oct,9743853.25
Nov,9025026.25
Dec,9806541.75
